| 123 | 0 | 0 | 
| 123 | 32 | 1 | 
| 123 | 17 | 2 | 
| 123 | 2 | 3 | 
| 123 | 34 | 4 | 
| 123 | 19 | 5 | 
| 123 | 4 | 6 | 
| 123 | 36 | 7 | 
| 123 | 21 | 8 | 
| 123 | 6 | 9 | 
| 321 | 46 | 1 | 
| 321 | 45 | 2 | 
| 321 | 44 | 3 | 
| 321 | 43 | 4 | 
| 321 | 42 | 5 | 
| 321 | 41 | 6 | 
| 321 | 40 | 7 | 
| 321 | 39 | 8 | 
| 321 | 38 | 9 | 
| 321 | 37 | 10 | 
| 456 | 35 | 3 | 
| 321 | 33 | 14 | 
| 456 | 31 | 4 | 
| 321 | 30 | 17 | 
| 456 | 27 | 5 | 
| 321 | 29 | 18 | 
| 456 | 23 | 6 | 
| 321 | 28 | 19 | 
| 456 | 15 | 8 | 
| 321 | 26 | 21 | 
