| 123 | 3 | 0 | 
| 123 | 4 | 1 | 
| 123 | 5 | 2 | 
| 123 | 6 | 3 | 
| 123 | 7 | 4 | 
| 123 | 8 | 5 | 
| 123 | 9 | 6 | 
| 123 | 10 | 7 | 
| 123 | 11 | 8 | 
| 123 | 12 | 9 | 
| 321 | 21 | 0 | 
| 321 | 22 | 1 | 
| 321 | 23 | 2 | 
| 321 | 24 | 3 | 
| 321 | 25 | 4 | 
| 321 | 26 | 5 | 
| 321 | 27 | 6 | 
| 321 | 28 | 7 | 
| 321 | 29 | 8 | 
| 321 | 0 | 9 | 
| 456 | 13 | 7 | 
| 321 | 1 | 10 | 
| 456 | 14 | 8 | 
| 321 | 2 | 11 | 
| 456 | 15 | 9 | 
| 321 | 16 | 25 | 
| 456 | 17 | 11 | 
| 321 | 18 | 27 | 
| 456 | 19 | 13 | 
| 321 | 20 | 29 | 
